City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Tuktoyaktuk,CA,2021-02-04 17:54:15,69.4541,-133.0374,-38.2,67,20,10.36
123,Heinsberg,DE,2021-02-04 17:54:15,51.0667,6.0833,46.99,74,55,6.96
124,Pangnirtung,CA,2021-02-04 17:54:16,66.1451,-65.7125,6.8,78,90,24.16
125,Santa Ana,US,2021-02-04 17:54:16,33.7456,-117.8678,59.0,72,90,2.82
126,Barrow,US,2021-02-04 17:54:16,71.2906,-156.7887,-25.6,68,20,8.05
127,Avera,US,2021-02-04 17:54:16,33.194,-82.5271,51.01,34,1,4.61
128,Huarmey,PE,2021-02-04 17:54:16,-10.0681,-78.1522,75.49,63,71,7.76
129,Cockburn Town,TC,2021-02-04 17:54:16,21.4612,-71.1419,77.0,61,40,9.22
130,Elliot,ZA,2021-02-04 17:54:16,-31.3333,27.85,62.69,93,53,4.5
131,Angoche,MZ,2021-02-04 17:54:16,-16.2325,39.9086,81.45,84,79,5.03
132,Sept-Iles,CA,2021-02-04 17:50:16,50.2001,-66.3821,33.01,74,98,4.61
133,Tessalit,ML,2021-02-04 17:53:11,20.1986,1.0114,77.54,14,0,10.29
134,Yerbogachen,RU,2021-02-04 17:54:16,61.2767,108.0108,-19.37,87,93,0.76
135,Lorengau,PG,2021-02-04 17:54:17,-2.0226,147.2712,82.2,71,100,6.31
136,Merauke,ID,2021-02-04 17:52:16,-8.4667,140.3333,78.94,88,98,13.06
137,Kropotkin,RU,2021-02-04 17:54:17,45.4375,40.5756,49.75,64,41,5.48
138,Vardo,NO,2021-02-04 17:54:17,70.3705,31.1107,26.6,68,75,16.11
139,Dover,US,2021-02-04 17:53:04,39.1582,-75.5244,39.99,41,1,18.41
140,Isangel,VU,2021-02-04 17:52:38,-19.55,169.2667,77.83,80,66,6.55
141,Qaqortoq,GL,2021-02-04 17:54:17,60.7167,-46.0333,19.4,45,20,4.85
142,Mayo,US,2021-02-04 17:53:16,38.8876,-76.5119,44.01,38,1,11.5
143,Ewa Beach,US,2021-02-04 17:54:18,21.3156,-158.0072,62.6,94,1,3.44
144,Bonthe,SL,2021-02-04 17:54:18,7.5264,-12.505,82.38,72,82,14.97
145,Skibbereen,IE,2021-02-04 17:54:18,51.55,-9.2667,44.6,100,75,5.75
146,Arraial Do Cabo,BR,2021-02-04 17:51:25,-22.9661,-42.0278,93.2,54,20,25.32
147,Hasaki,JP,2021-02-04 17:54:18,35.7333,140.8333,28.4,80,20,4.61
148,West Lafayette,US,2021-02-04 17:54:18,40.4259,-86.9081,37.4,60,90,16.11
149,Grand Gaube,MU,2021-02-04 17:54:18,-20.0064,57.6608,80.01,76,1,5.01
150,Rorvik,NO,2021-02-04 17:54:18,64.8621,11.2373,8.6,85,0,3.44
151,Antsohihy,MG,2021-02-04 17:54:18,-14.8796,47.9875,76.48,91,100,1.83
152,Bambous Virieux,MU,2021-02-04 17:54:18,-20.3428,57.7575,80.6,74,20,9.22
153,Port Blair,IN,2021-02-04 17:50:10,11.6667,92.75,78.75,81,14,8.23
154,Pudozh,RU,2021-02-04 17:54:19,61.8099,36.5345,10.2,95,100,6.26
155,San Rafael Del Sur,NI,2021-02-04 17:54:19,11.8485,-86.4384,86.0,45,20,9.22
156,Nouadhibou,MR,2021-02-04 17:54:19,20.931,-17.0347,69.8,68,20,18.41
157,Nam Dinh,VN,2021-02-04 17:54:19,20.4167,106.1667,65.53,88,0,4.94
158,Mount Isa,AU,2021-02-04 17:52:46,-20.7333,139.5,84.2,58,45,8.05
159,Makhachkala,RU,2021-02-04 17:54:19,42.9764,47.5024,39.2,93,90,6.71
160,Isla Mujeres,MX,2021-02-04 17:54:19,21.2311,-86.731,78.8,50,40,10.36
161,Nanortalik,GL,2021-02-04 17:54:19,60.1432,-45.2371,22.44,81,100,1.97
162,Kota Belud,MY,2021-02-04 17:54:19,6.351,116.4305,75.2,94,20,4.61
163,Mar Del Plata,AR,2021-02-04 17:54:20,-38.0023,-57.5575,73.4,53,0,18.41
164,Caravelas,BR,2021-02-04 17:54:20,-17.7125,-39.2481,84.79,58,0,10.49
165,Byron Bay,AU,2021-02-04 17:54:20,-28.65,153.6167,64.4,100,40,2.24
166,Esperance,AU,2021-02-04 17:54:20,-33.8667,121.9,55.4,76,90,5.75
167,Taoudenni,ML,2021-02-04 17:54:20,22.6783,-3.9836,83.52,13,1,9.17
168,Saint-Augustin,CA,2021-02-04 17:54:20,51.226,-58.6502,35.01,97,100,0.63
169,Gamboma,CG,2021-02-04 17:54:20,-1.8764,15.8644,77.04,84,95,1.01
170,Road Town,VG,2021-02-04 17:50:21,18.4167,-64.6167,84.2,70,40,9.22
171,Margate,GB,2021-02-04 17:50:27,51.3813,1.3862,46.99,87,94,1.01
172,Camana,PE,2021-02-04 17:54:21,-16.6228,-72.7111,75.67,64,74,8.95
173,Palmer,US,2021-02-04 17:54:21,42.1584,-72.3287,36.0,55,75,8.05
174,Ambon,ID,2021-02-04 17:54:21,-3.6954,128.1814,80.33,78,100,6.02
175,Ampanihy,MG,2021-02-04 17:54:21,-24.7,44.75,82.13,63,32,6.31
176,Iqaluit,CA,2021-02-04 17:54:21,63.7506,-68.5145,8.6,85,90,26.46
177,Belawan,ID,2021-02-04 17:54:21,3.7755,98.6832,77.0,100,40,3.44
178,Faanui,PF,2021-02-04 17:54:22,-16.4833,-151.75,81.0,67,11,4.97
179,Nikolskoye,RU,2021-02-04 17:54:22,59.7035,30.7861,10.4,85,20,13.42
180,Manzhouli,CN,2021-02-04 17:54:22,49.6,117.4333,8.73,94,87,9.33
181,Bonavista,CA,2021-02-04 17:54:08,48.6499,-53.1147,42.8,100,81,3.44
182,Atuona,PF,2021-02-04 17:52:09,-9.8,-139.0333,78.01,71,16,10.36
183,Cordoba,AR,2021-02-04 17:50:53,-31.4135,-64.1811,84.99,39,0,6.91
184,Coracao De Maria,BR,2021-02-04 17:54:22,-12.2333,-38.75,86.02,59,78,8.55
185,Eyemouth,GB,2021-02-04 17:54:22,55.8713,-2.0901,39.99,94,100,1.01
186,Bandarbeyla,SO,2021-02-04 17:54:22,9.4942,50.8122,74.12,67,4,13.49
187,Bay Roberts,CA,2021-02-04 17:54:23,47.5999,-53.2648,46.0,100,75,2.3
188,Naze,JP,2021-02-04 17:54:23,28.3667,129.4833,55.35,69,37,4.74
189,Thanh Hoa,VN,2021-02-04 17:49:56,19.8,105.7667,63.88,91,0,2.57
190,Pestovo,RU,2021-02-04 17:54:23,58.5938,35.8024,6.69,95,70,5.46
191,Tura,IN,2021-02-04 17:54:23,25.5198,90.2201,62.76,49,0,4.27
192,Bethel,US,2021-02-04 17:52:08,41.3712,-73.414,37.0,51,75,10.36
193,Kupang,ID,2021-02-04 17:54:14,-10.1667,123.5833,79.5,85,99,10.67
194,Sakhipur,BD,2021-02-04 17:54:23,24.3,90.1833,71.6,68,16,5.03
195,Kavieng,PG,2021-02-04 17:52:12,-2.5744,150.7967,82.8,73,99,7.23
196,Okhotsk,RU,2021-02-04 17:54:15,59.3833,143.3,2.91,89,100,12.91
197,Labuhan,ID,2021-02-04 17:54:24,-6.8844,112.2051,78.58,84,94,13.78
